gen,best,avg,stable
1,3301910.609521,3348623.722728,0
2,3339869.022888,60973322.653563,0
3,3388533.651789,78712166.792835,1
4,53919917.485192,86691991.048390,2
5,61248789.601369,91103228.510590,3
6,69278858.625793,86593040.166459,4
7,71600908.203653,78886011.113995,5
8,73228885.672130,76337627.572125,6
9,74211680.175806,76027946.981233,7
10,74608470.773048,75877999.601992,8
11,74042055.955638,75906424.947001,9
12,74492963.741034,75849853.293198,10
13,74346247.192931,75633647.496675,11
14,74282772.692880,75558406.207132,12
15,74442266.919081,75567877.470123,13
16,74557786.143781,75580998.824195,14
17,74496765.226295,75577930.131302,15
18,74446869.332888,75458967.994132,16
19,74556726.721705,75387844.907834,17
20,74574829.342461,75337176.241327,18
21,74567590.540040,75400074.541995,19
22,74394344.849862,75310678.119001,20
23,74288435.434855,75331571.383495,21
24,74427842.068617,75275770.936504,22
25,74197003.278925,75221923.694170,23
26,74362561.056283,75244760.083101,24
27,74445313.812875,75218186.278731,25
28,74188827.206231,75252156.365085,26
29,74301083.537952,75188477.235247,27
30,74088465.621509,75062415.670291,28
31,73979075.637588,75020351.974714,29
32,74051234.530787,74904279.771502,30
33,74051234.530787,74988133.270679,31
34,74028380.254674,75000317.011447,32
35,74027275.924358,74980342.996025,33
36,74027275.924358,74858411.031673,34
37,73984649.886450,74798589.017646,35
38,73985425.072210,74690051.360222,36
39,74010386.124908,74678591.271656,37
40,73788368.841895,74605411.816874,38
41,73930941.167881,74623936.339746,39
42,73862596.115953,74633441.417881,40
43,73664790.410960,74575380.497337,41
44,73705571.051875,74528271.035928,42
45,73650669.502161,74482529.331126,43
46,73694921.661661,74442318.205061,44
47,73711742.069799,74516266.340128,45
48,73835784.903433,74581042.345523,46
49,73682472.251014,74522197.484623,47
50,73828054.307312,74493625.503860,48
51,73448800.524999,74459054.688942,49
52,73424642.762493,74474844.569505,50
53,73774393.710445,74454719.361594,51
54,73555020.877615,74456426.778265,52
55,73839765.658818,74415292.365554,53
56,73459690.940964,74514093.606312,54
57,73906972.759417,74485122.726591,55
58,73742565.085185,74500097.530291,56
59,73835217.989891,74433729.876389,57
60,73615052.070203,74397111.319053,58
61,73740254.111612,74346794.207397,59
62,73670578.575471,74387305.888600,60
63,73702350.187366,74422735.190308,61
64,73511226.388871,74404053.740053,62
65,73499115.077734,74297877.710409,63
66,73499115.077734,74375110.106851,64
67,73383934.776420,74365647.365491,65
68,73713174.646017,74348680.594796,66
69,73512659.441713,74268083.233085,67
70,73565446.797572,74330635.618727,68
71,73678069.657081,74342909.536641,69
72,73724221.694802,74321094.378823,70
73,73723479.512327,74369078.891220,71
74,73464349.679769,74364986.545152,72
75,73720723.997283,74314071.443385,73
76,73504380.265358,74273685.327318,74
77,73365706.983278,74173621.448836,75
78,73351802.391243,74149610.969074,76
79,73467758.830891,74138741.312402,77
80,73371380.826025,74154777.612604,78
81,73053482.338730,74183015.459609,79
82,73320716.501187,74180394.172757,80
83,73374310.050091,74157504.813635,81
84,73540489.092471,74184263.541281,82
85,73406115.535902,74147263.954592,83
86,73415343.693095,74101015.722409,84
87,73355929.812578,74077410.822430,85
88,73455715.393210,74055737.781884,86
89,73271645.158622,74036251.596839,87
90,73298974.402625,74023968.037399,88
91,73230138.588470,74008679.066538,89
92,73221189.925173,73942796.522877,90
