
---#----Graph Size: (4461)----#---

Genetic Algorithm (OX1):
---#----------#---
Chromosome (88) generated
Chromosome (64) generated
Chromosome (52) generated
Chromosome (13) generated
Chromosome (76) generated
Chromosome (26) generated
Chromosome (0) generated
Chromosome (39) generated
Chromosome (89) generated
Chromosome (77) generated
Chromosome (53) generated
Chromosome (14) generated
Chromosome (65) generated
Chromosome (27) generated
Chromosome (1) generated
Chromosome (40) generated
Chromosome (90) generated
Chromosome (78) generated
Chromosome (54) generated
Chromosome (66) generated
Chromosome (28) generated
Chromosome (15) generated
Chromosome (2) generated
Chromosome (41) generated
Chromosome (91) generated
Chromosome (55) generated
Chromosome (79) generated
Chromosome (67) generated
Chromosome (29) generated
Chromosome (3) generated
Chromosome (42) generated
Chromosome (16) generated
Chromosome (92) generated
Chromosome (56) generated
Chromosome (30) generated
Chromosome (4) generated
Chromosome (43) generated
Chromosome (17) generated
Chromosome (80) generated
Chromosome (68) generated
Chromosome (31) generated
Chromosome (5) generated
Chromosome (93) generated
Chromosome (44) generated
Chromosome (57) generated
Chromosome (81) generated
Chromosome (69) generated
Chromosome (18) generated
Chromosome (32) generated
Chromosome (6) generated
Chromosome (45) generated
Chromosome (94) generated
Chromosome (58) generated
Chromosome (82) generated
Chromosome (70) generated
Chromosome (19) generated
Chromosome (33) generated
Chromosome (7) generated
Chromosome (83) generated
Chromosome (95) generated
Chromosome (59) generated
Chromosome (46) generated
Chromosome (20) generated
Chromosome (71) generated
Chromosome (8) generated
Chromosome (84) generated
Chromosome (96) generated
Chromosome (34) generated
Chromosome (21) generated
Chromosome (47) generated
Chromosome (72) generated
Chromosome (60) generated
Chromosome (9) generated
Chromosome (85) generated
Chromosome (97) generated
Chromosome (35) generated
Chromosome (22) generated
Chromosome (48) generated
Chromosome (73) generated
Chromosome (61) generated
Chromosome (10) generated
Chromosome (86) generated
Chromosome (98) generated
Chromosome (36) generated
Chromosome (23) generated
Chromosome (49) generated
Chromosome (74) generated
Chromosome (62) generated
Chromosome (87) generated
Chromosome (11) generated
Chromosome (99) generated
Chromosome (37) generated
Chromosome (24) generated
Chromosome (75) generated
Chromosome (50) generated
Chromosome (63) generated
Chromosome (25) generated
Chromosome (38) generated
Chromosome (12) generated
Chromosome (51) generated
gen,best,avg,stable
1,375004.123249,386539.483488,0
2,375004.123249,396875.312890,0
3,375004.123249,400428.332608,1
4,375004.123249,396517.222897,2
5,375004.123249,393014.203814,3
6,375004.123249,390705.253675,4
7,375004.123249,386587.902814,5
8,375004.123249,378926.891425,6
9,375004.123249,379110.768922,7
10,375004.123249,380396.955468,8
11,375004.123249,380924.543204,9
12,375004.123249,383642.756928,10
13,375004.123249,382343.537879,11
14,375004.123249,381155.391061,12
15,375004.123249,375738.808661,13
16,375004.123249,376095.098096,14
17,375004.123249,376060.648842,15
18,375004.123249,376003.349470,16
19,375004.123249,375045.543225,17
20,375004.123249,375004.123249,18
21,375004.123249,375004.123249,19
22,375004.123249,375004.123249,20
23,375004.123249,375004.123249,21
24,375004.123249,375004.123249,22
25,375004.123249,375004.123249,23
26,375004.123249,375004.123249,24
27,375004.123249,375004.123249,25
28,375004.123249,375004.123249,26
29,375004.123249,375004.123249,27
30,375004.123249,375004.123249,28
31,375004.123249,375004.123249,29
32,375004.123249,375004.123249,30
33,375004.123249,375004.123249,31
34,375004.123249,375004.123249,32
35,375004.123249,375004.123249,33
36,375004.123249,375004.123249,34
37,375004.123249,375004.123249,35
38,375004.123249,375004.123249,36
39,375004.123249,375004.123249,37
40,375004.123249,375004.123249,38
41,375004.123249,375004.123249,39
42,375004.123249,375004.123249,40
43,375004.123249,375004.123249,41
44,375004.123249,375004.123249,42
45,375004.123249,375004.123249,43
46,375004.123249,375004.123249,44
47,375004.123249,375004.123249,45
48,375004.123249,375004.123249,46
49,375004.123249,375004.123249,47
50,375004.123249,375004.123249,48
51,375004.123249,375004.123249,49
52,375004.123249,375004.123249,50
53,375004.123249,375004.123249,51
54,375004.123249,375004.123249,52
55,375004.123249,375004.123249,53
56,375004.123249,375004.123249,54
57,375004.123249,375004.123249,55
58,375004.123249,375004.123249,56
59,375004.123249,375004.123249,57
60,375004.123249,375004.123249,58
61,375004.123249,375004.123249,59
62,375004.123249,375004.123249,60
63,375004.123249,375004.123249,61
64,375004.123249,375004.123249,62
65,375004.123249,375004.123249,63
66,375004.123249,375004.123249,64
67,375004.123249,375004.123249,65
68,375004.123249,375004.123249,66
69,375004.123249,375004.123249,67
70,375004.123249,375004.123249,68
71,375004.123249,375004.123249,69
72,375004.123249,375004.123249,70
73,375004.123249,375004.123249,71
74,375004.123249,375004.123249,72
75,375004.123249,375004.123249,73
76,375004.123249,375004.123249,74
77,375004.123249,375004.123249,75
78,375004.123249,375004.123249,76
79,375004.123249,375004.123249,77
80,375004.123249,375004.123249,78
81,375004.123249,375004.123249,79
82,375004.123249,375004.123249,80
83,375004.123249,375004.123249,81
84,375004.123249,375004.123249,82
85,375004.123249,375004.123249,83
86,375004.123249,375004.123249,84
87,375004.123249,375004.123249,85
88,375004.123249,375004.123249,86
89,375004.123249,375004.123249,87
90,375004.123249,375004.123249,88
91,375004.123249,375004.123249,89
92,375004.123249,375004.123249,90
93,375004.123249,375004.123249,91
94,375004.123249,375004.123249,92
95,375004.123249,375004.123249,93
96,375004.123249,375004.123249,94
97,375004.123249,375004.123249,95
98,375004.123249,375004.123249,96
99,375004.123249,375004.123249,97
100,375004.123249,375004.123249,98
101,375004.123249,375004.123249,99
102,375004.123249,375004.123249,100
103,375004.123249,375004.123249,101
104,375004.123249,375004.123249,102
105,375004.123249,375004.123249,103
106,375004.123249,375004.123249,104
107,375004.123249,375004.123249,105
108,375004.123249,375004.123249,106
109,375004.123249,375004.123249,107
110,375004.123249,375004.123249,108
111,375004.123249,375004.123249,109
112,375004.123249,375004.123249,110
113,375004.123249,375004.123249,111
114,375004.123249,375004.123249,112
115,375004.123249,375004.123249,113
116,375004.123249,375004.123249,114
117,375004.123249,375004.123249,115
118,375004.123249,375004.123249,116
119,375004.123249,375004.123249,117
120,375004.123249,375004.123249,118
121,375004.123249,375004.123249,119
122,375004.123249,375004.123249,120
123,375004.123249,375004.123249,121
124,375004.123249,375004.123249,122
125,375004.123249,375004.123249,123
126,375004.123249,375004.123249,124
127,375004.123249,375004.123249,125
128,375004.123249,375004.123249,126
129,375004.123249,375004.123249,127
130,375004.123249,375004.123249,128
131,375004.123249,375004.123249,129
132,375004.123249,375004.123249,130
133,375004.123249,375004.123249,131
134,375004.123249,375004.123249,132
135,375004.123249,375004.123249,133
136,375004.123249,375004.123249,134
137,375004.123249,375004.123249,135
138,375004.123249,375004.123249,136
139,375004.123249,375004.123249,137
140,375004.123249,375004.123249,138
141,375004.123249,375004.123249,139
142,375004.123249,375004.123249,140
143,375004.123249,375004.123249,141
144,375004.123249,375004.123249,142
145,375004.123249,375004.123249,143
146,375004.123249,375004.123249,144
147,375004.123249,375004.123249,145
148,375004.123249,375004.123249,146
149,375004.123249,375004.123249,147
150,375004.123249,375004.123249,148
151,375004.123249,375004.123249,149
152,375004.123249,375004.123249,150
153,375004.123249,375004.123249,151
154,375004.123249,375004.123249,152
155,375004.123249,375004.123249,153
156,375004.123249,375004.123249,154
157,375004.123249,375004.123249,155
158,375004.123249,375004.123249,156
159,375004.123249,375004.123249,157
160,375004.123249,375004.123249,158
161,375004.123249,375004.123249,159
162,375004.123249,375004.123249,160
163,375004.123249,375004.123249,161
164,375004.123249,375004.123249,162
165,375004.123249,375004.123249,163
166,375004.123249,375004.123249,164
167,375004.123249,375004.123249,165
168,375004.123249,375004.123249,166
169,375004.123249,375004.123249,167
170,375004.123249,375004.123249,168
171,375004.123249,375004.123249,169
172,375004.123249,375004.123249,170
173,375004.123249,375004.123249,171
174,375004.123249,375004.123249,172
175,375004.123249,375004.123249,173
176,375004.123249,375004.123249,174
177,375004.123249,375004.123249,175
178,375004.123249,375004.123249,176
179,375004.123249,375004.123249,177
180,375004.123249,375004.123249,178
181,375004.123249,375004.123249,179
182,375004.123249,375004.123249,180
183,375004.123249,375004.123249,181
184,375004.123249,375004.123249,182
185,375004.123249,375004.123249,183
186,375004.123249,375004.123249,184
187,375004.123249,375004.123249,185
188,375004.123249,375004.123249,186
189,375004.123249,375004.123249,187
190,375004.123249,375004.123249,188
191,375004.123249,375004.123249,189
192,375004.123249,375004.123249,190
193,375004.123249,375004.123249,191
194,375004.123249,375004.123249,192
195,375004.123249,375004.123249,193
196,375004.123249,375004.123249,194
197,375004.123249,375004.123249,195
198,375004.123249,375004.123249,196
199,375004.123249,375004.123249,197
200,375004.123249,375004.123249,198
201,375004.123249,375004.123249,199
202,375004.123249,375004.123249,200
203,375004.123249,375004.123249,201
204,375004.123249,375004.123249,202
205,375004.123249,375004.123249,203
206,375004.123249,375004.123249,204
207,375004.123249,375004.123249,205
208,375004.123249,375004.123249,206
209,375004.123249,375004.123249,207
210,375004.123249,375004.123249,208
211,375004.123249,375004.123249,209
212,375004.123249,375004.123249,210
213,375004.123249,375004.123249,211
214,375004.123249,375004.123249,212
215,375004.123249,375004.123249,213
216,375004.123249,375004.123249,214
217,375004.123249,375004.123249,215
218,375004.123249,375004.123249,216
219,375004.123249,375004.123249,217
220,375004.123249,375004.123249,218
221,375004.123249,375004.123249,219
222,375004.123249,375004.123249,220
223,375004.123249,375004.123249,221
224,375004.123249,375004.123249,222
225,375004.123249,375004.123249,223
226,375004.123249,375004.123249,224
227,375004.123249,375004.123249,225
228,375004.123249,375004.123249,226
229,375004.123249,375004.123249,227
230,375004.123249,375004.123249,228
231,375004.123249,375004.123249,229
232,375004.123249,375004.123249,230
233,375004.123249,375004.123249,231
234,375004.123249,375004.123249,232
235,375004.123249,375004.123249,233
236,375004.123249,375004.123249,234
237,375004.123249,375004.123249,235
238,375004.123249,375004.123249,236
239,375004.123249,375004.123249,237
240,375004.123249,375004.123249,238
241,375004.123249,375004.123249,239
242,375004.123249,375004.123249,240
243,375004.123249,375004.123249,241
244,375004.123249,375004.123249,242
245,375004.123249,375004.123249,243
246,375004.123249,375004.123249,244
247,375004.123249,375004.123249,245
248,375004.123249,375004.123249,246
249,375004.123249,375004.123249,247
250,375004.123249,375004.123249,248
251,375004.123249,375004.123249,249
252,375004.123249,375004.123249,250
253,375004.123249,375004.123249,251
254,375004.123249,375004.123249,252
255,375004.123249,375004.123249,253
256,375004.123249,375004.123249,254
257,375004.123249,375004.123249,255
258,375004.123249,375004.123249,256
259,375004.123249,375004.123249,257
260,375004.123249,375004.123249,258
261,375004.123249,375004.123249,259
262,375004.123249,375004.123249,260
263,375004.123249,375004.123249,261
264,375004.123249,375004.123249,262
265,375004.123249,375004.123249,263
266,375004.123249,375004.123249,264
267,375004.123249,375004.123249,265
268,375004.123249,375004.123249,266
269,375004.123249,375004.123249,267
270,375004.123249,375004.123249,268
271,375004.123249,375004.123249,269
272,375004.123249,375004.123249,270
273,375004.123249,375004.123249,271
274,375004.123249,375004.123249,272
275,375004.123249,375004.123249,273
276,375004.123249,375004.123249,274
277,375004.123249,375004.123249,275
278,375004.123249,375004.123249,276
279,375004.123249,375004.123249,277
280,375004.123249,375004.123249,278
281,375004.123249,375004.123249,279
282,375004.123249,375004.123249,280
283,375004.123249,375004.123249,281
