gen,best,avg,stable
1,379091.169736,387260.581649,0
2,379091.169736,395774.633206,0
3,379091.169736,396204.875564,1
4,379091.169736,394345.601338,2
5,379091.169736,382404.689546,3
6,379091.169736,380987.044486,4
7,379091.169736,381118.582769,5
8,379091.169736,380877.783065,6
9,379091.169736,380558.423238,7
10,379091.169736,380404.829223,8
11,379063.284875,381411.798873,9
12,379063.284875,380614.932439,0
13,379063.284875,382045.369436,1
14,379063.284875,380593.782107,2
15,379063.284875,380791.236306,3
16,379063.284875,380608.429353,4
17,379063.284875,380706.486696,5
18,379063.284875,380611.565380,6
19,379063.284875,380455.671943,7
20,379063.284875,380837.099742,8
21,379063.284875,380825.703409,9
22,379063.284875,380276.565103,10
23,379063.284875,381043.758506,11
24,379063.284875,380426.909749,12
25,379063.284875,381049.540806,13
26,379063.284875,380855.322310,14
27,379025.965430,380043.642225,15
28,379025.965430,380553.466860,0
29,379025.965430,380210.525627,1
30,379025.965430,380062.111610,2
31,379025.965430,380502.732398,3
32,379025.965430,380512.127610,4
33,379025.965430,380552.956630,5
34,379025.965430,380433.257621,6
35,379025.965430,380387.309250,7
36,379025.965430,381494.992645,8
37,379025.965430,380376.276576,9
38,378495.074461,380463.928326,10
39,378495.074461,380699.154940,0
40,378495.074461,381471.666488,1
41,378441.785317,380113.364414,2
42,378441.785317,380325.990572,0
43,378441.785317,379726.515158,1
44,378441.785317,379633.590382,2
45,378441.785317,380157.472661,3
46,378441.785317,379718.906175,4
47,378441.785317,380479.894984,5
48,378441.785317,380171.682320,6
49,378424.052761,379994.569490,7
50,378424.052761,380071.112070,0
51,378424.052761,379894.743386,1
52,378424.052761,379891.569848,2
53,378424.052761,380842.231792,3
54,378424.052761,379947.462561,4
55,378424.052761,380164.399051,5
56,378424.052761,379787.772194,6
57,378424.052761,380091.528014,7
58,378424.052761,380134.915287,8
59,378424.052761,380295.081460,9
60,378424.052761,380149.661724,10
61,378424.052761,379738.092240,11
62,378424.052761,379915.299867,12
63,378424.052761,379927.847664,13
64,378424.052761,380287.875840,14
65,378424.052761,379570.649195,15
66,378424.052761,380094.682454,16
67,378424.052761,379854.608151,17
68,378424.052761,379560.644086,18
69,378424.052761,380128.670823,19
70,378424.052761,380121.000608,20
71,378424.052761,379629.371922,21
72,378424.052761,380736.417384,22
73,378424.052761,379964.686670,23
74,378424.052761,379845.542169,24
75,378424.052761,380207.299607,25
76,378424.052761,380451.295924,26
77,378424.052761,380018.145471,27
78,378424.052761,380485.665162,28
79,378424.052761,380617.715439,29
80,378424.052761,379587.968109,30
81,378424.052761,380454.853361,31
82,378424.052761,379978.455323,32
83,378424.052761,380089.848261,33
84,378424.052761,379622.004856,34
85,378424.052761,380394.673418,35
86,378424.052761,379903.592590,36
87,378424.052761,379754.847975,37
88,378424.052761,379694.725400,38
89,378424.052761,380273.101570,39
90,378424.052761,380042.074692,40
91,378424.052761,380379.758636,41
92,378424.052761,380461.385361,42
93,378424.052761,380756.070630,43
94,378424.052761,380069.086148,44
95,378424.052761,379605.043126,45
96,378424.052761,379970.876633,46
97,378424.052761,380060.381211,47
98,378382.964015,379520.750638,48
99,378382.964015,379771.384049,0
100,378382.964015,380088.277422,1
101,378382.964015,380384.692020,2
102,378382.964015,379563.844343,3
103,378382.964015,380084.961131,4
104,378382.964015,379603.896999,5
105,378382.964015,379603.069225,6
106,378382.964015,379725.061970,7
107,378382.964015,379643.278899,8
108,378382.964015,380463.332599,9
109,378382.964015,379894.237257,10
110,378382.964015,380047.685259,11
