gen,best,avg,stable
1,377169.353422,387133.293107,0
2,377169.353422,2950411.615107,0
3,377169.353422,3951889.426142,1
4,377169.353422,4511921.575914,2
5,377169.353422,4615146.468048,3
6,377169.353422,4599198.402310,4
7,377169.353422,4592549.344344,5
8,377169.353422,4418171.782556,6
9,377169.353422,4456135.425606,7
10,377169.353422,4417364.503612,8
11,377169.353422,4510663.405435,9
12,377169.353422,4522406.528124,10
13,377169.353422,4452245.166589,11
14,377169.353422,4384775.980856,12
15,377169.353422,4423484.370563,13
16,377169.353422,4334873.880300,14
17,377169.353422,4321187.209743,15
18,377169.353422,4051192.762555,16
19,377169.353422,4088973.189419,17
20,377169.353422,4100897.253511,18
21,377169.353422,4066895.964727,19
22,377169.353422,4151662.808448,20
23,377169.353422,4290268.088984,21
24,377169.353422,4369660.042681,22
25,377169.353422,4218579.699288,23
26,377169.353422,4129659.616816,24
27,377169.353422,4210442.623290,25
28,377169.353422,4157301.965556,26
29,377169.353422,4037612.762327,27
30,377169.353422,4055104.592613,28
31,377169.353422,4142838.803180,29
32,377169.353422,3969154.641145,30
33,377169.353422,3831485.030991,31
34,377169.353422,3796967.458354,32
35,377169.353422,3666206.725518,33
36,377169.353422,3527440.599987,34
37,377169.353422,3407509.448336,35
38,377169.353422,3287969.791622,36
39,377169.353422,3272889.950352,37
40,377169.353422,3206904.102870,38
41,377169.353422,3153035.867097,39
42,377169.353422,3113796.916613,40
43,377169.353422,2995340.998536,41
44,377169.353422,2909422.258445,42
45,377169.353422,2840240.686809,43
46,377169.353422,2829637.285168,44
47,377169.353422,2777228.287806,45
48,377169.353422,2742676.773343,46
49,377169.353422,2609866.494620,47
50,377169.353422,2654958.821710,48
51,377169.353422,2577668.291243,49
52,377169.353422,2608111.833762,50
53,377169.353422,2565212.488842,51
54,377169.353422,2583574.794461,52
55,377169.353422,2605524.982219,53
56,377169.353422,2727171.917904,54
57,377169.353422,2767713.463893,55
58,377169.353422,2683819.165020,56
59,377169.353422,2701623.981326,57
60,377169.353422,2763652.792245,58
61,377169.353422,2745009.902600,59
62,377169.353422,2945919.700860,60
63,377169.353422,2975394.499063,61
64,377169.353422,2998004.544990,62
65,377169.353422,2885982.942243,63
66,377169.353422,2849433.778566,64
67,377169.353422,2747822.833637,65
68,377169.353422,2698548.410602,66
69,377169.353422,2813961.707780,67
70,377169.353422,2743862.276235,68
71,377169.353422,2815834.327866,69
72,377169.353422,2793689.339471,70
73,377169.353422,2803324.847195,71
74,377169.353422,2998132.596614,72
75,377169.353422,3035320.666467,73
76,377169.353422,2887533.077185,74
77,377169.353422,2839667.182522,75
78,377169.353422,2912970.417698,76
79,377169.353422,2943023.455625,77
80,377169.353422,3057802.189005,78
81,377169.353422,3049775.615868,79
82,377169.353422,2899444.321544,80
83,377169.353422,2920415.813401,81
84,377169.353422,2983453.438477,82
85,377169.353422,3148167.531929,83
86,377169.353422,3283491.868748,84
87,377169.353422,3217833.787947,85
88,377169.353422,3221810.238435,86
89,377169.353422,3142323.931768,87
90,377169.353422,3187332.248707,88
91,377169.353422,3061675.945106,89
92,377169.353422,3197569.501551,90
93,377169.353422,3232416.024103,91
94,377169.353422,3298785.099281,92
95,377169.353422,3432509.545052,93
96,377169.353422,3274857.770915,94
97,377169.353422,3431119.294157,95
98,377169.353422,3580085.551872,96
99,377169.353422,3715276.363327,97
100,377169.353422,3725173.854870,98
101,377169.353422,3597113.087481,99
102,377169.353422,3386121.303023,100
103,377169.353422,3116726.402252,101
104,377169.353422,2830567.516622,102
105,377169.353422,2549321.986483,103
106,377169.353422,2301363.095536,104
107,377169.353422,2081041.651075,105
108,377169.353422,1913186.942189,106
109,377169.353422,1628728.396441,107
110,377169.353422,1322821.286364,108
111,377169.353422,1152486.648018,109
112,377169.353422,1021546.913893,110
113,377169.353422,927872.013442,111
114,377169.353422,884154.034161,112
115,377169.353422,833469.717263,113
116,377169.353422,801747.375597,114
117,377169.353422,757166.664482,115
118,377169.353422,688993.192846,116
119,377169.353422,632376.025769,117
120,377169.353422,598813.477672,118
121,377169.353422,577065.381983,119
122,377169.353422,547682.238404,120
123,377169.353422,524382.146273,121
124,377169.353422,500207.524333,122
125,377169.353422,479941.432945,123
126,377169.353422,467118.079206,124
127,377169.353422,457588.763649,125
128,377169.353422,453977.322897,126
129,377169.353422,447603.810278,127
130,377169.353422,434792.620804,128
131,377169.353422,434943.954470,129
132,377169.353422,432460.663053,130
133,377169.353422,436103.484486,131
134,377169.353422,433854.708716,132
135,377169.353422,431804.259354,133
136,377169.353422,426859.391845,134
137,377169.353422,415407.335773,135
138,377169.353422,411124.772214,136
139,377169.353422,413420.688117,137
140,377169.353422,408113.970792,138
141,377169.353422,407369.890100,139
142,377169.353422,407469.700135,140
143,377169.353422,400739.965879,141
144,377169.353422,397505.042328,142
145,377169.353422,394720.306021,143
146,377169.353422,393146.505225,144
147,377169.353422,396898.137550,145
148,377169.353422,397113.943262,146
149,377169.353422,392396.737124,147
150,377169.353422,400930.186036,148
151,377169.353422,400647.513762,149
152,377169.353422,400230.801975,150
153,377169.353422,391184.113965,151
