gen,best,avg,stable
1,377991.907793,387056.395651,0
2,377991.907793,2814505.558814,0
3,377991.907793,3744619.861725,1
4,377991.907793,4069455.025091,2
5,377991.907793,4081133.328193,3
6,377991.907793,3981951.910455,4
7,377991.907793,4126757.605023,5
8,377991.907793,4318238.218924,6
9,377991.907793,4366318.010728,7
10,377991.907793,4266795.995981,8
11,377991.907793,4097019.749565,9
12,377991.907793,4044758.867180,10
13,377991.907793,3965062.792349,11
14,377991.907793,3906854.417119,12
15,377991.907793,3676324.417859,13
16,377991.907793,3562673.919587,14
17,377991.907793,3616107.953802,15
18,377991.907793,3586813.954349,16
19,377991.907793,3610734.970179,17
20,377991.907793,3694975.733371,18
21,377991.907793,3513967.437484,19
22,377991.907793,3579359.330000,20
23,377991.907793,3474035.586451,21
24,377991.907793,3360663.275112,22
25,377991.907793,2991448.213731,23
26,377991.907793,2793318.564751,24
27,377991.907793,2252552.165295,25
28,377991.907793,1968625.513431,26
29,377991.907793,1821601.249543,27
30,377991.907793,1410392.038836,28
31,377991.907793,1275805.096820,29
32,377991.907793,1034166.544550,30
33,377991.907793,894293.706981,31
34,377991.907793,946781.351185,32
35,377991.907793,935302.714431,33
36,377991.907793,779507.033670,34
37,377991.907793,870839.299025,35
38,377991.907793,1103756.976618,36
39,377991.907793,1405192.560068,37
40,377991.907793,1816974.422995,38
41,377991.907793,2164410.253503,39
42,377991.907793,2267533.144633,40
43,377991.907793,2234249.263036,41
44,377991.907793,1892183.533547,42
45,377991.907793,1274130.474289,43
46,377991.907793,823269.174253,44
47,377991.907793,635327.927656,45
48,377991.907793,549131.675541,46
49,377991.907793,455458.671904,47
50,377991.907793,414786.041244,48
51,377991.907793,399253.057991,49
52,377991.907793,395098.155372,50
53,377991.907793,388800.292859,51
54,377991.907793,389123.743310,52
55,377991.907793,386054.209307,53
56,377991.907793,385558.119190,54
57,377966.997091,384614.194222,55
58,377867.301558,381281.455991,0
59,377867.301558,381187.210489,0
60,377867.301558,382690.950327,1
61,377804.101634,382684.804761,2
62,377739.119176,383503.583676,0
63,377705.823070,385450.973019,0
64,377705.823070,382137.465456,0
65,377688.795171,382548.636688,1
66,377688.795171,384675.649108,0
67,377638.533036,388509.347921,1
68,377638.533036,389870.291110,0
69,377638.533036,385382.793185,1
70,377621.505137,383868.133628,2
71,377608.355886,384650.346953,0
72,377608.355886,381238.387032,0
73,377608.355886,381290.115720,1
74,377608.355886,383347.025460,2
75,377556.094685,380931.182330,3
76,377542.945433,381805.754303,0
77,377542.945433,383588.152308,0
78,377542.945433,383677.131805,1
79,377542.945433,385187.597216,2
80,377542.945433,387489.811720,3
81,377542.945433,389983.982886,4
82,377528.024937,397502.584755,5
83,377522.819612,393545.157483,0
84,377504.041607,400557.768526,0
85,377498.836282,395412.363399,0
86,377498.836282,391748.976735,0
87,377498.836282,386572.407338,1
88,377498.836282,385245.574472,2
89,377498.836282,384053.465857,3
90,377258.914726,387200.908314,4
91,377257.290042,383358.384352,0
92,377165.753594,385211.491776,0
93,377165.753594,386020.422502,0
94,377165.753594,384094.926319,1
95,377165.753594,386022.216935,2
96,377165.753594,383766.072123,3
97,377165.753594,383775.259194,4
98,377165.753594,384513.239415,5
99,377165.753594,380800.557982,6
100,377143.517206,384221.298480,7
101,377143.517206,386967.411433,0
102,377141.892521,381982.856259,1
103,377099.670549,383374.819252,0
104,377099.670549,386319.241035,0
105,377099.670549,383316.624084,1
106,377099.670549,382194.333482,2
107,376691.538140,385604.241269,3
108,376691.538140,381591.411795,0
109,376611.215462,382981.815251,1
110,376433.070654,379875.894922,0
111,376433.070654,380662.730957,0
112,376433.070654,382959.831344,1
113,376131.372429,379367.264888,2
114,376131.372429,383502.394902,0
115,376018.359216,378725.742149,1
116,376015.161983,381189.466529,0
117,376015.161983,382523.969552,0
118,376015.161983,380186.212010,1
119,376015.161983,383785.046948,2
120,376015.161983,383577.725482,3
121,376015.161983,383387.529274,4
122,375995.199277,380402.045571,5
123,375995.199277,380765.865127,0
124,375995.199277,381762.992452,1
125,375995.199277,379167.528121,2
126,375995.199277,379949.902785,3
127,375995.199277,381859.385813,4
128,375995.199277,378869.402905,5
129,375995.199277,379425.915106,6
130,375995.199277,381149.961859,7
131,375995.199277,389007.597633,8
132,375995.199277,386942.586762,9
133,375995.199277,387178.315520,10
134,375995.199277,387807.466240,11
135,375995.121294,386107.320354,12
136,375995.121294,384148.649713,0
137,375995.121294,380415.692504,1
138,375987.589104,381279.120969,2
139,375941.201982,380053.490407,0
140,375931.274776,378806.548546,0
141,375931.274776,379956.176282,0
142,375931.274776,378740.388292,1
143,375909.525127,382831.685070,2
144,375909.525127,383824.909439,0
145,375909.525127,380024.477883,1
146,375897.713303,379057.005272,2
147,375897.713303,381065.836780,0
148,375897.713303,380385.831420,1
149,375897.713303,381241.225781,2
150,375897.713303,378076.288996,3
151,375897.713303,378386.834432,4
152,375897.713303,379090.807016,5
153,375892.472194,377880.119252,6
154,375892.472194,381342.880027,0
155,375892.472194,383317.446908,1
156,375892.472194,382974.530177,2
157,375892.472194,385061.206418,3
158,375892.472194,385171.934315,4
159,375892.472194,382857.702719,5
160,375892.472194,382671.608595,6
161,375892.472194,380497.397506,7
162,375892.472194,380202.233988,8
163,375892.472194,379546.511340,9
164,375892.472194,377878.606432,10
165,375892.472194,380569.419632,11
166,375892.472194,379347.025939,12
167,375892.472194,380621.511196,13
168,375892.472194,377963.462120,14
169,375892.472194,380721.594668,15
