gen,best,avg,stable
1,377044.852857,386437.888726,0
2,377044.852857,3060502.102765,0
3,377044.852857,3743962.705481,1
4,413635.507541,3531487.587056,2
5,997374.640571,3282446.505115,3
6,1236642.778039,2372530.597969,4
7,1297145.913698,1867203.954272,5
8,1400190.477678,1639299.749887,6
9,1414916.564716,1549231.361356,7
10,1433226.506550,1533393.092349,8
11,1436301.327998,1527020.401796,9
12,1444292.610133,1517294.074909,10
13,1469142.529756,1518850.388558,11
14,1454438.365651,1516645.130513,12
15,1476474.147512,1512075.289091,13
16,1461343.875207,1519155.940895,14
17,1455313.861929,1516886.856724,15
18,1461560.537291,1512670.682011,16
19,1465237.518540,1503105.797327,17
20,1471580.735197,1499275.537382,18
21,1462230.549837,1500032.147008,19
22,1461672.166204,1502107.103242,20
23,1464701.912630,1502820.512912,21
24,1451720.219917,1502401.823953,22
25,1473555.085163,1502846.227270,23
26,1473806.805898,1505569.872787,24
27,1473428.329120,1509113.676881,25
28,1473954.407753,1506523.516712,26
29,1471196.050488,1507315.044795,27
30,1474233.126595,1507959.882374,28
31,1481207.538217,1510326.593246,29
32,1477791.446646,1511668.185974,30
33,1481587.929362,1510956.847787,31
34,1477167.031746,1509384.716158,32
35,1474074.328552,1508683.253696,33
36,1480997.574206,1505491.953093,34
37,1448633.125690,1505298.397507,35
38,1448633.125690,1503215.855840,36
39,1466606.761632,1503985.365193,37
40,1475911.225631,1505598.938442,38
41,1469133.823480,1505701.222624,39
42,1469775.950876,1507226.105240,40
43,1480824.961829,1508059.693232,41
44,1481339.862563,1509306.363961,42
45,1481800.361242,1510951.058954,43
46,1480503.499537,1509657.634030,44
47,1487688.090023,1512712.269598,45
48,1482559.854461,1515062.430040,46
49,1473795.187829,1516840.951192,47
50,1487667.460667,1514093.115504,48
51,1472198.355694,1512710.373042,49
52,1481929.790481,1509724.347140,50
53,1479857.960307,1511136.142635,51
54,1482972.635325,1509709.852818,52
55,1482101.774506,1510984.145397,53
56,1482972.635325,1511173.258656,54
57,1472406.252932,1510974.134683,55
58,1476188.515328,1510669.323651,56
59,1471255.163287,1510880.002887,57
60,1483661.895201,1508786.627959,58
61,1474816.980510,1508906.947438,59
62,1480515.854870,1505137.505500,60
63,1477361.634052,1504931.107276,61
64,1477661.386590,1506072.197551,62
65,1471749.631152,1502059.250395,63
66,1470580.279107,1503291.287509,64
67,1470580.279107,1502714.038948,65
68,1465552.829499,1501660.050499,66
69,1462606.298546,1501999.440678,67
70,1462472.369874,1499145.653696,68
71,1468582.031329,1503175.146181,69
72,1468582.031329,1503769.850690,70
73,1470567.619307,1503009.016904,71
74,1470724.818077,1501053.481879,72
75,1467136.682969,1503565.054220,73
76,1474643.412740,1501576.652267,74
77,1471530.666332,1504336.550794,75
78,1475374.807351,1506547.717519,76
79,1456737.956102,1505800.176581,77
80,1456737.956102,1508352.634409,78
81,1469964.939237,1504381.246018,79
82,1474671.578551,1502642.655289,80
83,1468185.603406,1504184.688832,81
84,1480876.962976,1505792.407182,82
85,1483990.568792,1506254.041729,83
86,1482551.037318,1512079.264880,84
87,1480782.264314,1513869.540307,85
88,1486123.136342,1513096.192575,86
89,1483571.562595,1511497.557724,87
90,1481607.645495,1510808.113983,88
91,1478768.315032,1507541.304489,89
92,1481302.210777,1505329.265331,90
93,1473247.345138,1504527.319692,91
94,1466623.638518,1506167.245078,92
95,1477636.685038,1508138.814774,93
96,1480675.800303,1508191.927128,94
97,1472802.495871,1508413.260824,95
98,1479758.075541,1510643.943986,96
99,1477664.719980,1510887.843268,97
100,1480295.582646,1509879.064490,98
101,1484143.891883,1511839.244686,99
102,1487048.642834,1513911.691100,100
103,1486158.151063,1513783.778906,101
104,1482119.697376,1510431.602148,102
105,1483288.594406,1510362.314135,103
106,1472526.210971,1510354.866036,104
107,1470293.337238,1508464.702012,105
108,1471780.101594,1504947.443635,106
109,1473931.644122,1499932.703201,107
110,1478495.865765,1500387.506392,108
111,1475305.801095,1500964.319170,109
112,1475305.801095,1502144.620255,110
113,1477000.964026,1503199.669289,111
114,1478170.140313,1502938.795057,112
115,1478170.140313,1502592.502020,113
116,1475216.211844,1504663.163984,114
117,1473870.674122,1499548.029286,115
118,1468877.043044,1500024.522984,116
119,1472479.290249,1497774.835966,117
120,1480087.409559,1498653.078469,118
121,1475654.865406,1497016.842083,119
122,1467508.765836,1496729.959386,120
123,1463535.079835,1495225.899100,121
124,1472100.942016,1494841.166407,122
