gen,best,avg,stable
1,130699.170483,134966.658536,0
2,130699.170483,511944.749644,0
3,130699.170483,629203.128608,1
4,130699.170483,691586.726740,2
5,130699.170483,684649.677963,3
6,130699.170483,653426.716921,4
7,130699.170483,658256.132051,5
8,130699.170483,698316.640236,6
9,130699.170483,682727.758297,7
10,130699.170483,682184.416952,8
11,130699.170483,678932.157280,9
12,130699.170483,664443.421111,10
13,130699.170483,656714.180856,11
14,130699.170483,653668.201702,12
15,130699.170483,664748.456821,13
16,130699.170483,647329.264723,14
17,130699.170483,633922.492592,15
18,130699.170483,651705.111611,16
19,130699.170483,674077.703676,17
20,130699.170483,667671.425782,18
21,130699.170483,635357.529720,19
22,130699.170483,639747.844300,20
23,130699.170483,625867.617546,21
24,130699.170483,615590.588472,22
25,130699.170483,600975.417775,23
26,130699.170483,563980.711679,24
27,130699.170483,494925.699710,25
28,130699.170483,491423.108182,26
29,130699.170483,493267.149900,27
30,130699.170483,501934.140529,28
31,130699.170483,453844.689705,29
32,130699.170483,480063.244728,30
33,130699.170483,505137.783714,31
34,130699.170483,521408.362777,32
35,130699.170483,533876.560296,33
36,130699.170483,545159.299307,34
37,130699.170483,573083.946114,35
38,130699.170483,551173.772129,36
39,130699.170483,588527.623321,37
40,130699.170483,593524.966087,38
41,130699.170483,587963.511562,39
42,130699.170483,567789.805927,40
43,130699.170483,558384.905809,41
44,130699.170483,513185.453982,42
45,130699.170483,464937.067099,43
46,130699.170483,420804.386117,44
47,130699.170483,350363.437340,45
48,130699.170483,302512.009259,46
49,130699.170483,275497.520370,47
50,130699.170483,224511.717137,48
51,130699.170483,200967.667311,49
52,130699.170483,192456.635962,50
53,130699.170483,181501.205361,51
54,130699.170483,160057.427096,52
55,130699.170483,150607.625653,53
56,130699.170483,158439.622492,54
57,130699.170483,141378.060406,55
58,130699.170483,139371.441615,56
59,130699.170483,151922.307286,57
60,130699.170483,136868.133833,58
61,130699.170483,152083.103146,59
62,130699.170483,160324.918451,60
63,130699.170483,151979.516113,61
64,130699.170483,136853.725331,62
65,130699.170483,152306.725887,63
66,130699.170483,158623.839821,64
67,130699.170483,150006.293155,65
68,130699.170483,164724.239404,66
69,130699.170483,150748.411334,67
70,130699.170483,162016.681115,68
71,130699.170483,167616.743995,69
72,130699.170483,156515.516048,70
73,130699.170483,189180.538956,71
74,130699.170483,167931.771362,72
75,130699.170483,160043.226134,73
76,130699.170483,149821.976313,74
77,130699.170483,165739.569459,75
78,130699.170483,158183.579580,76
79,130699.170483,146536.114198,77
80,130699.170483,152180.481642,78
81,130699.170483,134424.959936,79
82,130699.170483,172995.550788,80
83,130381.252421,157576.859083,81
84,130114.689978,149680.955339,0
85,130107.987358,142689.358665,0
86,130107.987358,133728.263159,0
87,130051.693569,133876.640855,1
88,130005.379616,135012.073462,0
89,130005.379616,132522.359732,0
90,129798.448365,132309.085780,1
91,129798.448365,132053.873885,0
92,129798.448365,131555.493578,1
93,129798.332511,133155.926000,2
94,129779.400141,133564.453432,0
95,129714.189758,132976.202788,0
96,129696.309651,133030.063152,0
97,129674.276528,132854.961390,0
98,129628.208067,131704.646195,0
99,129586.707015,133523.655823,0
100,129576.251270,134373.924730,0
101,129520.038649,132844.644722,0
102,129520.038649,133705.043242,0
103,129502.958556,133793.122880,1
104,129502.958556,133248.805502,0
105,129502.958556,133469.127569,1
106,129502.958556,133682.730928,2
107,129502.958556,132987.448179,3
108,129502.958556,132645.105228,4
109,129502.842702,133964.627383,5
110,129349.004879,133472.444040,0
111,129349.004879,133900.008669,0
112,129349.004879,131972.146247,1
113,129348.889025,131935.998137,2
114,129348.889025,131111.801956,0
115,129348.889025,131324.270120,1
116,129348.889025,131353.270173,2
117,129348.889025,131257.690645,3
118,129348.889025,130757.099155,4
119,129348.889025,130643.544661,5
120,129348.889025,131891.582014,6
121,129270.898189,131576.032994,7
122,129270.898189,132330.016850,0
123,129270.898189,132829.794095,1
124,129270.898189,132175.142668,2
125,129270.898189,133579.497494,3
126,129270.898189,131948.849777,4
127,128683.828670,132421.266094,5
128,128683.828670,132301.277834,0
129,128683.828670,134508.685841,1
130,128529.808112,132139.608603,2
131,128529.808112,131755.250463,0
132,128529.808112,131396.642237,1
133,128529.808112,131859.894056,2
134,128511.529858,131257.123898,3
135,128511.529858,131445.215455,0
136,128511.529858,131860.988286,1
137,128511.529858,131083.054753,2
138,128400.498606,130072.020280,3
139,128400.498606,130486.170691,0
140,128384.439232,130292.213582,1
141,128384.439232,130047.804762,0
142,128384.439232,130294.578163,1
143,128384.439232,129878.377943,2
144,128384.439232,131126.561991,3
145,128384.439232,130570.953895,4
146,128384.439232,129743.092428,5
147,128384.439232,130150.629901,6
148,128384.439232,130198.772723,7
149,128384.439232,130192.744871,8
150,128384.439232,130539.561134,9
151,128384.439232,131299.262576,10
152,128384.439232,130700.570012,11
153,128384.439232,129636.541072,12
154,128384.439232,130802.629689,13
155,128223.721986,130993.487692,14
156,128223.721986,130470.614179,0
157,128223.721986,132277.044486,1
158,128223.721986,130626.804178,2
159,128223.721986,130840.081891,3
160,128223.721986,130091.689817,4
161,128223.721986,130696.519469,5
162,128223.721986,130402.628910,6
163,128180.313273,130339.495656,7
164,128180.313273,130203.721761,0
165,128180.313273,130063.627740,1
166,128180.313273,129714.136107,2
167,128176.497695,129372.692339,3
168,128174.069324,129528.972440,0
169,128133.088982,129300.766669,0
170,128133.088982,129461.471293,0
171,128133.088982,130150.322713,1
172,128133.088982,130535.267724,2
173,128102.135811,129755.672065,3
174,128102.135811,129931.549799,0
175,128102.135811,129793.017641,1
176,128102.135811,129315.167743,2
177,128098.989984,129656.550839,3
178,128098.989984,130479.392001,0
179,128098.989984,130796.852591,1
180,128098.989984,129674.435382,2
181,128098.989984,130026.321426,3
182,127719.655989,130423.322136,4
183,127719.655989,131233.275576,0
184,126864.227925,133488.114192,1
185,126864.227925,135011.906284,0
186,126288.191014,134399.577280,1
187,126288.191014,135195.907642,0
188,126288.191014,134368.449910,1
189,126288.191014,132699.787864,2
190,126223.377367,132607.713739,3
191,125965.704186,130108.814681,0
192,125965.704186,129469.621226,0
193,125935.242565,129171.203852,1
194,125935.242565,129802.430751,0
195,125896.535816,128184.209311,1
196,125896.535816,129179.549973,0
197,125863.291970,127823.818152,1
198,125806.255434,128254.523094,0
199,125790.382199,127432.407854,0
200,125786.174050,127660.328571,0
201,125770.797658,127749.290781,0
202,125766.134419,127193.091504,0
203,125731.052396,127921.234476,0
204,125707.843129,128261.099645,0
205,125661.395068,128793.883361,0
206,125654.843274,128540.265160,0
207,125642.844002,128113.557479,0
208,125637.147288,126920.471470,0
209,125637.147288,128037.639020,0
210,125630.595494,127263.695426,1
211,125630.595494,127571.127651,0
212,125630.595494,127879.187617,1
213,125630.595494,129010.510309,2
214,125630.595494,129253.105863,3
215,125621.103501,128130.372884,4
216,125621.103501,128465.309013,0
217,125603.609583,127973.062148,1
218,125587.575007,127562.903165,0
219,125587.575007,127261.263851,0
220,125587.575007,127732.964772,1
221,125587.575007,128221.934136,2
222,125587.575007,127201.751241,3
223,125587.575007,126797.948292,4
224,125587.575007,127455.198023,5
225,125587.575007,127007.202120,6
226,125587.575007,127149.090501,7
227,125587.575007,127707.005580,8
228,125587.575007,128183.960667,9
229,125583.239277,127477.887372,10
230,125583.239277,127590.885765,0
231,125583.239277,126937.685483,1
232,125552.286105,127738.850529,2
233,125552.286105,128050.950819,0
234,125552.286105,128985.572582,1
235,125552.286105,128096.799315,2
236,125552.286105,127209.299507,3
237,125552.286105,126941.753693,4
238,125552.286105,126826.418829,5
239,125552.286105,128373.118460,6
240,125552.286105,128087.352102,7
241,125552.286105,127998.259334,8
242,125552.286105,128361.138871,9
243,125552.286105,128308.201956,10
244,125552.286105,126806.360072,11
245,125552.286105,128230.732219,12
246,125552.286105,128601.692779,13
247,125552.286105,128540.043890,14
248,125552.286105,128431.284774,15
249,125552.286105,128323.796240,16
250,125552.286105,128130.479529,17
251,125552.286105,128291.261341,18
252,125552.286105,128139.743230,19
253,125552.286105,128509.933040,20
254,125552.286105,129000.630772,21
255,125552.286105,127824.404741,22
256,125552.286105,127214.251640,23
257,125552.286105,128179.942442,24
258,125552.286105,129590.084973,25
259,125552.286105,129236.202477,26
260,125552.286105,128130.287751,27
261,125552.286105,126907.043457,28
262,125552.286105,127172.865823,29
263,125552.286105,127048.318876,30
264,125552.286105,127186.760289,31
265,125552.286105,126624.278454,32
266,125552.286105,127237.503713,33
267,125552.286105,126900.530267,34
268,125552.286105,127407.034485,35
269,125552.286105,128562.317976,36
270,125552.286105,128192.789488,37
271,125552.286105,127608.201727,38
272,125552.286105,127168.138240,39
273,125552.286105,128125.688568,40
274,125552.286105,129107.198856,41
275,125552.286105,128940.711471,42
276,125552.286105,128618.242558,43
277,125552.286105,130037.551695,44
278,125552.286105,129097.291153,45
279,125552.286105,129222.369197,46
280,125552.286105,128292.301605,47
281,125552.286105,127454.859056,48
282,125552.286105,126869.930972,49
283,125552.286105,127341.645690,50
284,125552.286105,127212.844160,51
285,125552.286105,127281.202313,52
286,125552.286105,128545.619613,53
287,125552.286105,128642.609765,54
288,125552.286105,128430.274582,55
289,125552.286105,127692.257641,56
290,125552.286105,127648.913861,57
291,125552.286105,127649.148651,58
292,125552.286105,127517.057064,59
293,125552.286105,126631.159252,60
294,125545.900627,128076.608202,61
295,125545.900627,128967.954805,0
296,125412.980563,127292.274488,1
297,125412.980563,129665.279402,0
298,125412.980563,128206.979087,1
299,124770.512842,128074.171746,2
300,124022.820952,128095.758692,0
301,123736.860215,126973.328018,0
302,123483.791876,126833.323181,0
303,123468.390350,126333.350823,0
304,123331.901074,126835.553596,0
305,123331.901074,126526.209164,0
306,123331.901074,124879.685422,1
307,123237.865418,124452.964271,2
308,123195.072578,125081.056782,0
309,123195.072578,124701.136427,0
310,123195.072578,124831.890224,1
311,123195.072578,125377.065048,2
312,123142.311265,124957.020033,3
313,123105.101158,124471.670454,0
314,123105.101158,125031.162486,0
315,123105.101158,125532.383237,1
316,123105.101158,125474.724426,2
317,123020.782685,125342.301736,3
318,123020.782685,125682.331078,0
319,123020.782685,126681.683563,1
320,123020.782685,125639.429477,2
321,123020.782685,128512.708629,3
322,123020.782685,125735.424909,4
323,122968.802799,125242.599037,5
324,122968.802799,124704.724137,0
325,122968.802799,124125.723883,1
326,122968.802799,124340.290314,2
327,122968.802799,124633.676183,3
328,122968.802799,124470.521744,4
329,122968.802799,124463.137140,5
330,122968.802799,124095.285626,6
331,122968.802799,125043.211078,7
332,122968.802799,125016.520860,8
333,122968.802799,125435.957320,9
334,122959.907987,125144.824771,10
335,122959.907987,125036.994420,0
336,122959.907987,127141.117749,1
337,122959.907987,127286.232803,2
338,122925.178528,127310.658576,3
339,122925.178528,127303.881658,0
340,122916.283716,127694.932085,1
341,122916.283716,126916.910455,0
342,122916.283716,127119.155044,1
343,122916.283716,128787.341974,2
344,122734.998238,128847.235863,3
345,122691.373968,130608.719081,0
346,122691.373968,129851.655075,0
347,122691.373968,129500.173780,1
348,122691.373968,128335.835326,2
349,122691.373968,127986.193509,3
350,122660.940453,127787.591349,4
351,122620.317346,126311.940723,0
352,122620.317346,125738.236434,0
353,122592.906884,125663.063425,1
