gen,best,avg,stable
1,156534101.622093,158244205.950470,0
2,156534101.622093,2835571629.909859,0
3,156534101.622093,3907258758.337352,1
4,156534101.622093,4160003068.366504,2
5,156534101.622093,4263064864.357600,3
6,156534101.622093,4140849051.770051,4
7,156534101.622093,3922917244.165933,5
8,156534101.622093,3771561925.963145,6
9,156534101.622093,3745408397.412858,7
10,156534101.622093,3785113017.274627,8
11,156534101.622093,3871391498.762664,9
12,156534101.622093,4151326524.895668,10
13,156534101.622093,4233554915.021186,11
14,156534101.622093,4223320298.809186,12
15,156534101.622093,4210347646.891451,13
16,156534101.622093,4292046883.987941,14
17,156534101.622093,4213495761.404204,15
18,156534101.622093,4092829655.053833,16
19,156534101.622093,3923492005.976855,17
20,156534101.622093,4209672603.235074,18
21,156534101.622093,4184546994.313275,19
22,156534101.622093,3981946067.213513,20
23,156534101.622093,3755414309.030014,21
24,156534101.622093,3722547972.746716,22
25,156534101.622093,3435856038.003312,23
26,156534101.622093,3173123250.175575,24
27,156534101.622093,3243654537.136650,25
28,156534101.622093,3466155129.008792,26
29,156534101.622093,3487869287.939129,27
30,156534101.622093,3384697310.991591,28
31,156534101.622093,2994511890.108396,29
32,156534101.622093,2579451805.085830,30
33,156534101.622093,2185059260.085878,31
34,156534101.622093,1882250018.325546,32
35,156534101.622093,1602243693.801578,33
36,156534101.622093,1598385832.013079,34
37,156534101.622093,1289881097.995196,35
38,156534101.622093,1154873462.901642,36
39,156534101.622093,1206991138.546526,37
40,156534101.622093,1121228905.620686,38
41,156534101.622093,1000472326.804731,39
42,156534101.622093,653617435.534368,40
43,156534101.622093,688407529.343529,41
44,156534101.622093,615048140.402703,42
45,156534101.622093,457692657.452001,43
46,156534101.622093,419962369.348078,44
47,156534101.622093,388090682.463205,45
48,156534101.622093,310364487.372814,46
49,156534101.622093,393737198.037672,47
50,156534101.622093,444071594.294458,48
51,156534101.622093,653227878.736445,49
52,156534101.622093,795374850.641150,50
53,156534101.622093,717320190.961100,51
54,156534101.622093,624240841.727284,52
55,156534101.622093,431816467.638385,53
56,156534101.622093,307971730.796157,54
57,156534101.622093,407584697.436202,55
58,156534101.622093,356470329.026555,56
59,156534101.622093,413240936.366926,57
60,156534101.622093,354893715.280021,58
61,156534101.622093,470828601.023600,59
62,156534101.622093,402603990.612758,60
63,156534101.622093,468942549.972564,61
64,156534101.622093,406828912.403647,62
65,156534101.622093,403932598.814894,63
66,156534101.622093,462358255.739198,64
67,156534101.622093,380773456.948099,65
68,156534101.622093,285110862.233606,66
69,156534101.622093,523492791.931354,67
70,156534101.622093,489014147.803820,68
71,156534101.622093,527299854.117407,69
72,156534101.622093,427215454.897347,70
73,156534101.622093,464597307.977875,71
74,156534101.622093,296245139.397238,72
75,156534101.622093,285755478.525641,73
76,156534101.622093,400801854.169867,74
77,156534101.622093,635214547.734189,75
78,156534101.622093,383169982.014042,76
79,156534101.622093,305808746.254236,77
80,156534101.622093,283510323.722828,78
81,156534101.622093,568715222.039571,79
82,156534101.622093,766958382.504445,80
83,156534101.622093,665008025.909052,81
84,156534101.622093,621432623.062002,82
85,156534101.622093,729248697.180256,83
86,156534101.622093,1033007769.400282,84
87,156534101.622093,1005275269.691067,85
88,156534101.622093,1263689871.533776,86
89,156534101.622093,1308694730.419480,87
90,156534101.622093,1356561329.177008,88
91,156534101.622093,1544084724.920530,89
92,156534101.622093,1891061904.398324,90
93,156534101.622093,2081301196.681375,91
94,156534101.622093,2217905604.817034,92
95,156534101.622093,2453679953.724341,93
96,156534101.622093,2451122756.209015,94
97,156534101.622093,2419272458.830670,95
98,156534101.622093,2362525495.071922,96
99,156534101.622093,1728209074.126372,97
100,156534101.622093,1345092871.886511,98
101,156534101.622093,1039058650.069717,99
102,156534101.622093,760896508.020846,100
103,156534101.622093,476926026.822779,101
104,156534101.622093,532457494.294525,102
105,156534101.622093,419593676.949752,103
106,156534101.622093,330984220.184614,104
107,156534101.622093,300721688.182991,105
108,156534101.622093,431587823.720171,106
109,156534101.622093,187572675.270036,107
110,156534101.622093,270095873.305804,108
111,156534101.622093,171932066.686004,109
112,156534101.622093,266582271.768679,110
113,156534101.622093,268851136.504655,111
114,156534101.622093,364746541.617846,112
115,156534101.622093,313215313.596027,113
116,156534101.622093,310342452.806763,114
117,156534101.622093,406839261.398313,115
118,156534101.622093,301716756.975940,116
119,156534101.622093,189653277.536733,117
120,156534101.622093,216345170.548862,118
121,156534101.622093,310022419.627184,119
122,156534101.622093,212035516.083782,120
123,156534101.622093,355331295.214023,121
124,156534101.622093,255264710.058641,122
125,156534101.622093,354261855.258601,123
126,156534101.622093,162054836.604133,124
127,156534101.622093,309748443.155846,125
128,156534101.622093,262114131.917073,126
129,156534101.622093,210743471.211085,127
130,156534101.622093,163338718.622898,128
131,156534101.622093,355311577.949273,129
132,156534101.622093,306079572.666741,130
133,156534101.622093,208864010.867428,131
134,156534101.622093,257380466.302291,132
135,156534101.622093,255612044.379229,133
136,156534101.622093,295270860.132081,134
137,156534101.622093,286343234.272091,135
138,156534101.622093,324333432.760821,136
139,156534101.622093,399311788.376341,137
140,156534101.622093,324047261.396451,138
141,156534101.622093,305418046.177855,139
142,156534101.622093,207201799.571735,140
143,156534101.622093,160433808.303433,141
144,156534101.622093,209101233.602631,142
145,156534101.622093,307372948.265504,143
146,156534101.622093,306104460.730038,144
147,156534101.622093,208649532.068484,145
148,156534101.622093,307185763.473833,146
149,156534101.622093,305561043.311598,147
150,156534101.622093,259154388.745099,148
151,156534101.622093,257931584.993754,149
152,156534101.622093,357131925.296918,150
153,156534101.622093,301466278.705752,151
154,156534101.622093,264298213.086966,152
155,156534101.622093,257304022.104869,153
156,156534101.622093,215408398.012478,154
157,156534101.622093,265574596.150357,155
158,156534101.622093,215737992.020669,156
159,156534101.622093,217366366.818962,157
160,156534101.622093,311564630.280232,158
161,156534101.622093,257487753.675385,159
162,156534101.622093,310737853.186822,160
163,156534101.622093,215532987.171925,161
164,156534101.622093,262895065.513693,162
165,156534101.622093,167206671.058806,163
166,156534101.622093,313014749.741752,164
167,156534101.622093,311373117.320970,165
168,156534101.622093,218769733.337464,166
169,156534101.622093,266055555.179809,167
170,156534101.622093,166185894.420501,168
171,156534101.622093,162272015.319211,169
172,156534101.622093,257287553.591638,170
173,156534101.622093,299863848.838350,171
174,156534101.622093,300600363.225937,172
175,156534101.622093,352942700.510175,173
176,156534101.622093,285973634.747174,174
177,156534101.622093,258318766.033056,175
178,156534101.622093,350491975.594988,176
179,156534101.622093,258779288.940275,177
180,156534101.622093,256311734.694082,178
181,156534101.622093,352196981.693833,179
182,156534101.622093,341984980.241365,180
183,156534101.622093,350840874.831975,181
184,156534101.622093,253559772.936394,182
185,156534101.622093,254309294.130021,183
186,156534101.622093,300960146.390721,184
187,156534101.622093,300009993.706776,185
188,156534101.622093,252553820.149281,186
189,156534101.622093,304528336.702565,187
190,156534101.622093,282733883.372440,188
191,156534101.622093,280872834.435354,189
192,156534101.622093,211407590.742526,190
193,156534101.622093,256440870.452944,191
194,156534101.622093,353333543.400149,192
195,156534101.622093,256017841.506002,193
196,156534101.622093,309073256.569091,194
197,156534101.622093,210782141.155357,195
198,156534101.622093,255526675.283816,196
199,156534101.622093,255499738.961932,197
200,156534101.622093,159494354.357197,198
201,156534101.622093,159511362.275298,199
202,156534101.622093,255155839.740066,200
203,156534101.622093,256722747.517396,201
204,156534101.622093,305506573.117556,202
205,156534101.622093,400299243.679498,203
206,156534101.622093,257335338.753889,204
207,156534101.622093,353008898.097136,205
208,156534101.622093,257463318.758958,206
209,156534101.622093,160839318.789635,207
210,156534101.622093,206947647.932552,208
211,156534101.622093,253984674.995829,209
212,156534101.622093,305062534.854379,210
213,156534101.622093,208516350.827290,211
214,156534101.622093,256284652.901784,212
215,156534101.622093,252988607.735596,213
216,156534101.622093,302325234.757865,214
217,156534101.622093,402894446.666614,215
218,156534101.622093,257986802.497041,216
219,156534101.622093,207731011.669003,217
220,156534101.622093,161719183.603908,218
221,156534101.622093,257981208.529899,219
222,156534101.622093,164100809.820124,220
223,156534101.622093,210854482.619998,221
224,156534101.622093,257738466.698782,222
225,156534101.622093,209812376.043573,223
226,156534101.622093,402087491.503993,224
227,156534101.622093,330269384.795338,225
228,156534101.622093,212198743.899232,226
229,156534101.622093,260819725.174826,227
230,156534101.622093,211775220.155738,228
