gen,best,avg,stable
1,599231.157887,634340.851412,0
2,599231.157887,2672849.047594,0
3,599231.157887,3281156.166368,1
4,599231.157887,3443855.568891,2
5,599231.157887,3528010.351134,3
6,599231.157887,3600694.253030,4
7,599231.157887,3552903.162749,5
8,599231.157887,3647951.223673,6
9,599231.157887,3481188.305551,7
10,599231.157887,3460025.043201,8
11,599231.157887,3355056.682418,9
12,599231.157887,3506805.198085,10
13,599231.157887,3456469.102751,11
14,599231.157887,3286851.648747,12
15,599231.157887,3378680.816625,13
16,599231.157887,3388042.166387,14
17,599231.157887,3159666.173113,15
18,599231.157887,3232075.375687,16
19,599231.157887,3198165.884136,17
20,599231.157887,3240645.553056,18
21,599231.157887,3065852.856745,19
22,599231.157887,3019413.548984,20
23,599231.157887,3067838.164770,21
24,599231.157887,3083917.354657,22
25,599231.157887,3148433.100730,23
26,599231.157887,3156403.671539,24
27,599231.157887,3005783.108626,25
28,599231.157887,2784785.413839,26
29,599231.157887,2614009.480504,27
30,599231.157887,2499628.330003,28
31,599231.157887,2492595.527162,29
32,599231.157887,2521456.734629,30
33,599231.157887,2596340.114655,31
34,599231.157887,2594455.890577,32
35,599231.157887,2467092.020692,33
36,599231.157887,2245985.422803,34
37,599231.157887,2063110.844704,35
38,599231.157887,1833876.612802,36
39,599231.157887,1599912.976185,37
40,599231.157887,1415807.572899,38
41,599231.157887,1286598.741262,39
42,599231.157887,1180136.864990,40
43,599231.157887,1122420.846102,41
44,599231.157887,1050130.158940,42
45,599231.157887,1055705.093231,43
46,599231.157887,992848.225367,44
47,599231.157887,1066503.651309,45
48,599231.157887,1041482.813915,46
49,599231.157887,1086821.034681,47
50,599231.157887,839147.751289,48
51,599231.157887,837054.371531,49
52,599231.157887,824063.953886,50
53,599231.157887,845611.333961,51
54,599231.157887,829368.438660,52
55,599231.157887,836754.139554,53
56,599231.157887,832272.170941,54
57,599231.157887,972663.678301,55
58,599231.157887,753149.753789,56
59,599231.157887,838014.647616,57
60,599231.157887,834185.401102,58
61,599231.157887,906774.288000,59
62,599231.157887,718299.196619,60
63,599231.157887,765037.746315,61
64,599231.157887,714758.496575,62
65,599231.157887,757153.933747,63
66,599231.157887,798900.530996,64
67,599231.157887,804301.921934,65
68,599231.157887,732364.823727,66
69,599231.157887,753797.254688,67
70,599231.157887,624599.021230,68
71,599231.157887,730108.745923,69
72,599231.157887,796516.373248,70
73,599231.157887,896889.711559,71
74,599231.157887,860838.946046,72
75,599231.157887,731569.388680,73
76,599231.157887,766451.994230,74
77,599231.157887,832796.482940,75
78,599231.157887,694314.209364,76
79,599231.157887,732614.121551,77
80,599231.157887,725586.811685,78
81,599231.157887,823723.471827,79
82,599231.157887,801792.020918,80
83,599231.157887,773799.773423,81
84,599231.157887,747743.944123,82
85,599231.157887,741069.199574,83
86,599231.157887,843196.452104,84
87,599231.157887,892298.394213,85
88,599231.157887,996131.014916,86
89,599231.157887,973797.639326,87
90,599231.157887,840124.504893,88
91,599231.157887,857593.734758,89
92,599231.157887,1065399.459692,90
93,599231.157887,1019920.663235,91
94,599231.157887,964538.142213,92
95,599231.157887,1111216.315695,93
96,599231.157887,1290927.049312,94
97,599231.157887,1679214.102898,95
98,599231.157887,1794464.904821,96
99,599231.157887,1958334.913381,97
100,599231.157887,1946436.218895,98
101,599231.157887,1814756.996926,99
102,599231.157887,1618893.377936,100
103,599231.157887,1363809.630038,101
104,599231.157887,1192902.228998,102
105,599231.157887,1041397.111039,103
106,599231.157887,884742.391815,104
107,599231.157887,770406.362527,105
108,599231.157887,722203.841388,106
109,599231.157887,698264.969332,107
110,599231.157887,683475.487747,108
111,599231.157887,673858.745023,109
112,598591.195047,675199.499911,110
113,598591.195047,650742.210543,0
114,598591.195047,637063.916816,1
115,598591.195047,629268.735703,2
116,598497.845872,617960.883938,3
117,598195.755540,617151.242616,0
118,598195.755540,615200.114895,0
119,598172.604448,618336.825993,1
120,597304.577421,611519.751542,0
121,597304.577421,611843.530600,0
122,597304.577421,611417.721967,1
123,597304.577421,613474.942938,2
124,597304.577421,607160.053158,3
125,597285.429477,611060.175820,4
126,597262.278386,615314.524299,0
127,597262.278386,623143.389982,0
128,596913.997194,625118.973572,1
129,596913.997194,627729.093809,0
130,596792.114031,619110.626115,1
131,595998.811852,615235.681874,0
132,595998.811852,623295.902726,0
133,595592.593961,636421.857783,1
134,595592.593961,642473.209322,0
135,595353.343404,636743.162994,1
136,595353.343404,645352.610782,0
137,595353.343404,653454.803113,1
138,594807.669410,662483.821846,2
139,594791.180580,673724.862729,0
140,594791.180580,672425.476963,0
141,594586.175222,670176.891721,1
142,594586.175222,662088.191122,0
143,594307.588246,645547.094231,1
144,594307.588246,631879.468968,0
145,594073.627363,627385.609185,1
146,594073.627363,612485.654450,0
147,593928.457303,614637.649663,1
148,593928.457303,612917.561178,0
149,593581.951048,608027.557764,1
150,592364.976375,609639.803646,0
151,591824.466465,612006.677262,0
152,591824.466465,610887.487614,0
153,591672.663208,607478.930843,1
154,591498.150982,603087.664946,0
155,591321.809191,601447.651151,0
156,591054.101256,605867.617794,0
157,591054.101256,606881.523481,0
158,591054.101256,609996.224916,1
159,591054.101256,607068.259290,2
160,591054.101256,602563.938524,3
161,591054.101256,605195.450521,4
162,591054.101256,599968.790190,5
163,591054.101256,600796.007762,6
164,591054.101256,601725.340632,7
165,591054.101256,602963.976059,8
166,591054.101256,604189.513345,9
167,591054.101256,613077.303159,10
168,591054.101256,605157.177611,11
169,591054.101256,606537.885797,12
170,591054.101256,607034.743591,13
171,590389.524070,603945.333111,14
172,590389.524070,603964.676630,0
173,590389.524070,607218.837959,1
174,590389.524070,610749.607479,2
175,590067.142626,605619.239420,3
176,589827.836832,602910.760593,0
177,589827.836832,602099.618767,0
178,589827.836832,600291.968932,1
179,589550.576078,601972.230936,2
180,589354.208570,596913.925082,0
181,589354.208570,596954.194656,0
182,589270.289359,596326.270016,1
183,589270.289359,599450.660353,0
184,589270.289359,597279.215145,1
185,589211.648495,597278.623280,2
186,589211.648495,604958.257303,0
187,589202.099441,607638.570974,1
188,589159.650395,605043.655446,0
