gen,best,avg,stable
1,83929.922432,91291.960832,0
2,83929.922432,272447.464694,0
3,83929.922432,336749.505651,1
4,83929.922432,358141.797316,2
5,83929.922432,369976.971716,3
6,83929.922432,365889.347816,4
7,83929.922432,360364.724480,5
8,83929.922432,354314.563637,6
9,83929.922432,344851.847800,7
10,83929.922432,343645.360052,8
11,83929.922432,348280.050225,9
12,83929.922432,336571.286315,10
13,83929.922432,333547.844290,11
14,83929.922432,318292.991167,12
15,83929.922432,312456.806054,13
16,83929.922432,303852.059703,14
17,83929.922432,301865.061261,15
18,83929.922432,289749.222852,16
19,83929.922432,264117.296171,17
20,83929.922432,211194.853816,18
21,83929.922432,173260.933400,19
22,83929.922432,134716.317071,20
23,83929.922432,114183.281990,21
24,83929.922432,104477.866184,22
25,83929.922432,100538.487888,23
26,83929.922432,96364.976199,24
27,83929.922432,93344.438581,25
28,83929.922432,92501.649832,26
29,83929.922432,90908.280818,27
30,83911.100777,88364.524539,28
31,83864.723290,88380.324605,0
32,83864.723290,88147.781306,0
33,83849.965722,86905.067619,1
34,83849.965722,87003.131656,0
35,83762.239388,87863.901386,1
36,83663.744773,87140.161344,0
37,83648.428213,86160.762057,0
38,83596.246843,85812.870626,0
39,83596.246843,86073.776159,0
40,83567.827868,85131.433513,1
41,83482.916840,85456.198985,0
42,83420.396963,85403.180843,0
43,83420.396963,85320.487507,0
44,83420.396963,86238.314084,1
45,83420.396963,86695.641304,2
46,83318.142563,87211.908514,3
47,83318.142563,85352.355993,0
48,83278.080726,85363.045868,1
49,83113.580276,86184.440923,0
50,83113.580276,85416.718827,0
51,83113.580276,85495.913609,1
52,83021.965619,84929.211478,2
53,83005.078758,84847.795042,0
54,82974.559018,85466.663721,0
55,82974.559018,85465.927609,0
56,82951.247157,86032.209616,1
57,82937.293626,85487.345964,0
58,82926.852262,86642.884547,0
59,82904.961574,86245.685353,0
60,82899.103477,85164.108301,0
61,82863.829216,85621.555341,0
62,82862.981173,85589.543116,0
63,82839.679432,84801.287127,0
64,82839.679432,84357.329149,0
65,82613.405712,84477.801359,1
66,82613.405712,84917.575460,0
67,82613.405712,84760.567321,1
68,82554.829710,83997.365190,2
69,82553.981667,85589.628407,0
70,82553.981667,86349.023881,0
71,82370.943748,85396.223968,1
72,82370.943748,86093.524795,0
73,82370.943748,84798.871540,1
74,82370.943748,85444.826353,2
75,82370.943748,85847.037075,3
76,82247.377995,85518.031907,4
77,82213.444857,84769.714188,0
78,82213.444857,83847.721639,0
79,82146.962762,84681.423691,1
80,82146.962762,83960.675684,0
81,82146.962762,83424.013841,1
82,82146.962762,83679.141912,2
83,82146.962762,84471.901583,3
84,82146.962762,83811.624500,4
85,82146.962762,83491.774595,5
86,82123.924474,83954.525024,6
87,82123.924474,84039.375876,0
88,82123.924474,83408.884299,1
89,82123.924474,83669.666909,2
90,82123.924474,83908.084226,3
91,82123.924474,82810.453720,4
92,82123.924474,83456.541090,5
93,82123.924474,83950.572366,6
94,82123.924474,83832.641338,7
95,82123.924474,84054.481636,8
96,82123.924474,84343.565958,9
97,82123.924474,85367.799158,10
98,82123.924474,84450.929776,11
99,82123.924474,83645.682434,12
100,81797.346577,83652.880296,13
101,81797.346577,83543.022826,0
102,81797.346577,83560.719564,1
103,81678.060420,83605.378883,2
104,81678.060420,83696.433607,0
105,81678.060420,83163.378003,1
106,81669.974416,83594.161793,2
107,81613.509931,84896.050865,0
108,81563.229732,83678.114445,0
109,81502.153774,83311.037007,0
110,81502.153774,83977.378992,0
111,81502.153774,83440.917034,1
112,81502.153774,84191.473305,2
113,81502.153774,83724.118985,3
114,81502.153774,82811.670347,4
115,81502.153774,82830.723459,5
116,81502.153774,83071.241835,6
117,81502.153774,82711.018044,7
118,81502.153774,82670.375492,8
119,81502.153774,83524.528243,9
120,81502.153774,82988.896562,10
121,81502.153774,83227.090160,11
122,81502.153774,83159.108920,12
123,81502.153774,82605.645608,13
124,81502.153774,83188.173673,14
125,81502.153774,82655.706295,15
126,81502.153774,82973.523441,16
127,81502.153774,83575.400508,17
128,81502.153774,83565.316019,18
129,81396.514522,84325.721655,19
130,81363.560231,85722.953345,0
131,81363.560231,83551.596034,0
132,81363.560231,83719.936458,1
133,81363.560231,83844.232293,2
134,81363.560231,83717.190559,3
135,81363.560231,83412.402474,4
136,81336.234513,82722.179481,5
137,81336.234513,82981.003588,0
138,81336.234513,82419.776755,1
139,81336.234513,82558.560076,2
140,81336.234513,82534.644121,3
141,81336.234513,82418.941739,4
142,81336.234513,82626.769552,5
143,81336.234513,82915.127012,6
144,81336.234513,83888.114923,7
145,81336.234513,83739.755575,8
146,81336.234513,84828.813517,9
147,81336.234513,84135.711682,10
148,81336.234513,82641.710422,11
149,81258.139733,82784.635357,12
150,81258.139733,82865.253990,0
151,81258.139733,82896.764585,1
152,81258.139733,84489.902065,2
153,81258.139733,87371.221696,3
154,81258.139733,86466.469319,4
155,81258.139733,87535.303263,5
156,81258.139733,87937.062188,6
157,81258.139733,88801.920952,7
158,81258.139733,90717.287312,8
159,81090.980489,89739.243751,9
160,80820.198654,88510.663343,0
161,80820.198654,88279.380704,0
162,80820.198654,86046.115507,1
163,80344.873196,83865.404643,2
164,80344.873196,84040.846543,0
165,80277.832553,83638.691860,1
166,80127.679230,82885.953877,0
167,79885.509811,82596.733868,0
168,79885.509811,82018.338867,0
169,79844.601530,82739.064615,1
170,79692.461477,81705.356533,0
171,79692.461477,81846.243883,0
172,79692.461477,81639.717517,1
173,79692.461477,81956.651872,2
174,79596.413093,82051.307994,3
175,79592.605584,82238.885022,0
176,79592.605584,82367.154595,0
177,79512.667340,82945.927094,1
178,79512.667340,82136.256537,0
179,79512.667340,80917.188549,1
180,79494.084356,81546.523856,2
181,79494.084356,82014.749797,0
182,79494.084356,81365.677038,1
183,79494.084356,80568.062537,2
184,79433.263382,80642.511590,3
185,79416.388751,80823.804223,0
186,79416.388751,80778.711940,0
187,79416.388751,80398.355163,1
188,79416.388751,80327.007454,2
189,79416.388751,81428.216600,3
190,79416.388751,81180.358965,4
191,79416.388751,80690.402433,5
192,79416.388751,80556.671093,6
193,79416.388751,81222.622931,7
194,79416.388751,81158.267986,8
195,79416.388751,81433.059880,9
196,79416.388751,82693.493522,10
197,79416.388751,81626.048452,11
198,79416.388751,82179.683482,12
199,79416.388751,81902.034322,13
200,79416.388751,81552.031976,14
201,79344.813782,81711.039398,15
202,79344.813782,81322.073169,0
203,79344.813782,81542.776660,1
204,79344.813782,81148.685249,2
205,79344.813782,82263.768349,3
206,79344.813782,81540.211358,4
207,79275.402361,82321.089631,5
208,79275.402361,81912.681760,0
209,79275.402361,81840.538478,1
210,79275.402361,81881.545023,2
211,79188.121359,81884.721070,3
212,79188.121359,81549.237964,0
213,79188.121359,81689.835854,1
214,79188.121359,83345.922283,2
215,79188.121359,81575.198025,3
216,79188.121359,82677.265534,4
217,79131.385699,81126.498721,5
218,79029.387890,81090.731856,0
219,79029.387890,80672.610393,0
220,79029.387890,80568.488674,1
221,79029.387890,80819.504196,2
222,79029.387890,80600.560793,3
223,79029.387890,80606.768339,4
224,79029.387890,81061.089372,5
225,79029.387890,79975.780341,6
226,79029.387890,80034.213848,7
227,79029.387890,80795.795238,8
228,79029.387890,81574.942833,9
229,79029.387890,81180.648470,10
230,79029.387890,81010.485893,11
231,79029.387890,80575.769384,12
232,79029.387890,80301.509604,13
233,79029.387890,80976.830480,14
234,79029.387890,82151.951776,15
235,79029.387890,82220.237152,16
236,79029.387890,82441.499782,17
237,79029.387890,82550.796876,18
238,79029.387890,81491.082750,19
239,79029.387890,80848.420599,20
240,79029.387890,80471.346647,21
241,79029.387890,80957.005448,22
242,79029.387890,81342.069782,23
243,79029.387890,80675.974503,24
244,79029.387890,80486.433875,25
245,79029.387890,80144.069243,26
246,79029.387890,80144.275222,27
247,79029.387890,79973.767432,28
248,79029.387890,80854.659855,29
249,79029.387890,80967.895830,30
250,79029.387890,81464.412927,31
251,79029.387890,80525.451911,32
252,79029.387890,80426.398281,33
253,79029.387890,80907.491789,34
254,79029.387890,81431.744338,35
255,79029.387890,81206.066115,36
256,79029.387890,80992.562653,37
257,79029.387890,81577.509472,38
258,79029.387890,81066.928589,39
259,79029.387890,80802.619633,40
260,79029.387890,80974.275099,41
261,79029.387890,80706.728492,42
262,79029.387890,81076.269569,43
263,78977.825036,80707.411789,44
264,78977.825036,81084.338537,0
265,78831.019057,81540.275811,1
266,78831.019057,81012.073035,0
267,78831.019057,80740.110012,1
268,78625.168429,80184.022793,2
269,78616.858869,80054.909470,0
270,78616.858869,80083.397402,0
271,78616.858869,80190.236539,1
272,78616.858869,79484.708841,2
273,78611.926779,79921.657434,3
274,78611.926779,80836.567599,0
275,78611.926779,81335.315043,1
276,78611.926779,80520.166353,2
277,78611.926779,80372.918613,3
278,78576.648270,81355.680945,4
279,78576.648270,81376.430742,0
280,78571.716180,80040.815928,1
281,78571.716180,82481.718732,0
282,78571.716180,81484.226077,1
283,78523.910004,81689.215823,2
284,78483.699405,80756.689387,0
285,78483.699405,80278.798100,0
286,78483.699405,80210.317552,1
287,78483.699405,80318.761515,2
288,78467.077141,81698.802899,3
289,78379.060366,82600.077376,0
290,78379.060366,82933.645014,0
291,78379.060366,83514.325479,1
292,78379.060366,84007.990861,2
293,78379.060366,82859.386031,3
294,78109.484663,82095.491370,4
295,78109.484663,83822.563687,0
296,78109.484663,83815.577137,1
297,78109.484663,83466.004882,2
298,78109.484663,82110.437496,3
299,78109.484663,82263.585786,4
300,78109.484663,81558.850000,5
301,78109.484663,81296.563667,6
302,78109.484663,80425.329626,7
303,78014.993185,80287.840862,8
304,78014.993185,81974.039764,0
305,78014.993185,80916.989074,1
306,77846.420319,80082.265602,2
307,77846.420319,80142.847629,0
308,77846.420319,79905.606047,1
309,77723.613112,79463.178734,2
310,77723.613112,79977.781274,0
311,77723.613112,79491.228408,1
312,77686.535801,78739.332472,2
313,77686.535801,79315.240881,0
314,77664.580680,81055.797244,1
315,77599.340440,79745.861801,0
316,77599.340440,78819.770759,0
317,77599.340440,78524.496963,1
318,77599.340440,78569.934718,2
319,77561.868049,78545.872398,3
320,77561.868049,78908.375190,0
321,77561.868049,79005.533484,1
322,77529.301502,79691.031726,2
323,77529.301502,78860.086191,0
324,77529.301502,78846.298458,1
325,77529.301502,78682.466527,2
326,77529.301502,79243.527481,3
327,77529.301502,79598.269641,4
328,77522.061178,78941.544906,5
329,77522.061178,79425.514478,0
330,77522.061178,80526.520570,1
331,77522.061178,81106.942512,2
332,77522.061178,80796.629973,3
333,77489.916450,80482.491821,4
334,77482.676126,80162.816170,0
335,77482.676126,80311.847349,0
336,77482.676126,79662.529627,1
337,77482.676126,79498.188516,2
338,77482.676126,79242.159666,3
339,77482.676126,79279.033835,4
340,77482.676126,78792.832637,5
341,77482.676126,78878.989625,6
342,77482.676126,78924.835706,7
343,77482.676126,79548.754208,8
344,77482.676126,79702.593273,9
345,77482.676126,79313.072198,10
346,77482.676126,79017.927735,11
347,77482.676126,79148.968860,12
348,77482.676126,79464.622004,13
349,77482.676126,79079.079093,14
350,77482.676126,78624.191295,15
351,77482.676126,78368.846822,16
352,77482.676126,78763.824083,17
353,77454.195912,78533.913247,18
354,77454.195912,79014.592536,0
355,77454.195912,78954.112224,1
356,77454.195912,78848.862008,2
357,77454.195912,79275.653834,3
